"Sequential (every 30 minutes) GCS of trauma patients with a diagnosis of skull fracture, intracranial injury or spinal cord injury",TAFT3,Audit filter,1. Record 2. Random observation,"Code as 2 = ""Not available"" if the information that is needed to determine if the filter criteria has been fulfilled is not available.",no,no,no,yes,no,qualitative,"0,1,2",yes,,"“Not done”, “Done”, “Not available""",,,,no,,yes
Documentation of history and physical examination by a doctor,TAFT5,Audit filter,1. Record,"Code as 2 = ""Not available"" if the information that is needed to determine if the filter criteria has been fulfilled is not available.",no,no,no,yes,no,qualitative,"0,1,2",yes,,"“Not done”, “Done”, “Not available""",,,,no,,yes
Head computerized tomography (CT) scan done within 2 hours of arrival at hospital for a non-transferred patient with Glasgow Coma Scale score < 8 and systolic blood pressure > 90,TAFT6,Audit filter,1. Record,"Code as 2 = ""Not available"" if the information that is needed to determine if the filter criteria has been fulfilled is not available.",no,no,no,yes,no,qualitative,"0,1,2",yes,,"“Not done”, “Done”, “Not available""",,,,no,,yes
Operative treatment of gunshot wound to the abdomen,TAFT14,Audit filter,1. Record,"Code as 2 = ""Not available"" if the information that is needed to determine if the filter criteria has been fulfilled is not available.",no,no,no,yes,no,qualitative,"0,1,2",yes,,"“Not done”, “Done”, “Not available""",,,,no,,yes
"Vital signs recorded within 5 minutes of arrival to emergency department (must include breathing assessment, heart rate, blood pressure, oxygen saturation).",TAFT21,Audit filter,1. Direct observation 2. Record,"Code as 2 = ""Not available"" if the information that is needed to determine if the filter criteria has been fulfilled is not available.",no,no,no,yes,no,qualitative,"0,1,2",yes,,"“Not done”, “Done”, “Not available""",,,,no,,yes
"Senior medical officer made aware of patient with difficulty breathing, or shock present at triage (HR >100, OR SBP <110)* or oxygen saturation <95% within 5 minutes of initial assessment",TAFT22,Audit filter,1. Direct observation,"Code as 2 = ""Not available"" if the information that is needed to determine if the filter criteria has been fulfilled is not available.",no,no,no,yes,no,qualitative,"0,1,2",yes,,"“Not done”, “Done”, “Not available""",,,,no,,yes
The clinician did assess airway patency by asking the patient a question and listening for a response,TAFT23,Audit filter,1. Direct observation,"Code as 2 = ""Not available"" if the information that is needed to determine if the filter criteria has been fulfilled is not available.",no,no,no,yes,no,qualitative,"0,1,2",yes,,"“Not done”, “Done”, “Not available""",,,,no,,yes
"Basic airway manoeuvre assistance (i.e. jaw-thrust, oral or nasal airway, suction, removal of foreign object) performed for patient with difficulty or obstructed breathing.",TAFT24,Audit filter,1. Direct observation,"Code as 2 = ""Not available"" if the information that is needed to determine if the filter criteria has been fulfilled is not available.",no,no,no,yes,no,qualitative,"0,1,2",yes,,"“Not done”, “Done”, “Not available""",,,,no,,yes
Examination for pneumo- hemothorax done by listening to both sides of the chest with a stethoscope within 5 minutes of patient arrival to emergency department,TAFT25,Audit filter,1. Direct observation,"Code as 2 = ""Not available"" if the information that is needed to determine if the filter criteria has been fulfilled is not available.",no,no,no,yes,no,qualitative,"0,1,2",yes,,"“Not done”, “Done”, “Not available""",,,,no,,yes
Chest tube placed within 30 min of patient arrival in patient with suspected or confirmed pneumo- or hemothorax and oxygen saturation less than 98%,TAFT26,Audit filter,1. Record,"Code as 2 = ""Not available"" if the information that is needed to determine if the filter criteria has been fulfilled is not available.",no,no,no,yes,no,qualitative,"0,1,2",yes,,"“Not done”, “Done”, “Not available""",,,,no,,yes
